PandaId	SequenceNum	ExtraDate	PVDate_One Datum
1000	1.0	2010-01-11 00:00:00.0	1000-1.0-2010.1.11
1000	1.0	2010-02-22 00:00:00.0	1000-1.0-2010.2.22
1000	2.0	2010-01-11 00:00:00.0	1000-2.0-2010.1.11
1000	2.0	2010-02-22 00:00:00.0	1000-2.0-2010.2.22
1000	2.2	2010-01-11 00:00:00.0	1000-2.2-2010.1.11
1000	2.2	2010-02-22 00:00:00.0	1000-2.2-2010.2.22
1001	1.0	2010-01-11 00:00:00.0	1001-1.0-2010.1.11
1001	2.0	2010-01-11 00:00:00.0	1001-2.0-2010.1.11
1001	2.0	2010-02-22 00:00:00.0	1001-2.0-2010.2.22
1001	2.5	2010-01-11 00:00:00.0	1001-2.5-2010.1.11
